
КОД,НАЗВА,ЦІНА грн.,СЕКЦІЯ,КІЛЬКІСТЬ,ДАТА,КОРОБКА,ПРОСРОЧКА,,ОЧІКУЄМ,ТЕСТЕРИ
СЕКЦІЯ 1,,,,,,,,,,
Новинки ! 1 секція - Регулярна лінія,,,,,,,,,,
10235073,Живильна олія Mary Kay,1580,1,,,,,,,
10243763,Набір для сяйва шкіри обличчя,3620,1,,,,,,,
10206311,Суперзволожувальна помада для губ Mary Kay® Букет бузку (Mauve Crush)Сяючий,780,1,,,,,,,
10206310,Суперзволожувальна помада для губ Mary Kay® Ніжний рум'янець (Hushed Blush)Сяючий,780,1,,,,,,,
10206313,Суперзволожувальна помада для губ Mary Kay® Природній (Natural)Сяючий,780,1,,,,,,,
Новинки ! 1 секція - Обмежена колекція,,,,,,,,,,
10220126,Сяюча кремова помада Енергія можливостей - Кремовий,790,1,1,08/26,помады,,,,
10220127,Сяюча кремова помада Сила впливу - Кремовий,790,1,1,07/26(1),помады,,,,
10205925,Водостійкий олівець-лайнер для очей Мідь (Copper) Мерехтливий,540,1,,,,,,,
10211963,"Гель для душу MKMen ""Цитрусовий сад"" Цитрусовий сад",790,1,,,,,,,
Спеціальні пропозиції місяця,,,,,,,,,,
10244680,Набір Clear Proof® з маскою + Косметичка,2500,1,,,,,,,
10209899,Набір Mary Kay Clinical Solutions,4850,1,,,,,,,
10254142,Набір TimeWise Repair® Volu-Firm + Рожевий халат L/XL,8700,1,,,,,,,
10254141,Набір TimeWise Repair® Volu-Firm + Рожевий халат S/M,8700,1,,,,,,,
10242820,Набір засобів Mary Kay® для зволоження шкіри,2760,1,,,,,,,
10242812,Набір засобів Mary Kay® для матування шкіри,2760,1,,,,,,,
10254145,Чарівний набір TW з комплексом TW 3D+Рожевий рушник для комб/жирної шкіри,5950,1,,,,,,,
10254144,Чарівний набір TW з комплексом TW 3D+Рожевий рушник для сухої/норм шкіри,5950,1,,,,,,,
10254125,Щаслива дюжина. Живильна сироватка С+E,2300,1,,,,,,,
10254126,"Пташка березня. Знежир. засіб для зн. косм., Туш Сенсація",1770,1,,,,,,,
10254140,"1=2 Гель-тінт для брів Mary Kay, Темний Блонд",580,1,,,,,,,
10254136,1=2 Палітра тіней для повік до 60-ої річниці,1300,1,,,,,,,
10254139,"1=2 Пудра-контуринг Chromafusion, Какао",490,1,,,,,,,
10254134,"1=2 Сяючі рідкі тіні для повік, Кремовий",700,1,,,,,,,
10254135,"1=2 Сяючі рідкі тіні для повік, Рожевий",700,1,,,,,,,
10254133,Весняний буст. PHA + AHA кислоти,3250,1,,,,,,,
10254131,Весняний буст. Гіалуронова кислота + цераміди,3250,1,,,,,,,
10254130,Весняний буст. С + ресвератрол,3250,1,,,,,,,
10254132,Весняний буст. Ферулова кислота + ніацинамід,3250,1,,,,,,,
10253267,"З ""Мері Кей"" разом! (""PHA + AHA кислоти"")",2040,1,,,,,,,
10253266,"З ""Мері Кей"" разом! (""Гіалуронова кислота + цераміди"")",2040,1,,,,,,,
10253265,"З ""Мері Кей"" разом! (""С + ресвератрол"")",2040,1,,,,,,,
10253264,"З ""Мері Кей"" разом! (""Ферулова кислота + ніацинамід"")",2040,1,,,,,,,
Спеціальні пропозиції з новинками сезону,,,,,,,,,,
10254129,Спеціальна пропозиція для Лідерів,2120,1,,,,,,,
#МКПЛЮСОДИН,,,,,,,,,,
10254128,МКПлюсодин. Активна ліфтинг-сироватка TWR,3100,1,,,,,,,
Догляд за обличчям,,,,,,,,,,
10197784,Колаген Mary Kay® Daily Benefits™,2100,1,3,05/25(3),12,,,,
Базовий догляд Mary Kay,,,,,,,,,,
10201385,Відновлювальний тонік Mary Kay®,720,1,13,"07/27(8), 11/26(4),11/27(1)",*nova korobka,,,,
10201396,Відлущувальний скраб Mary Kay®,790,1,13,"02./27(1), 12/26(2), 06/27(2), 08/27(8)",,,,,
10201375,Зволожувальний засіб Mary Kay® для сухої/нормальної шкіри,820,1,6," 06/26(1), 05/27(5)",,,,,
10201305,Зволожувальний очищувальний засіб Mary Kay® для сухої/нормальної шкіри,710,1,9,"01/27(5), 06/26(1)",,,,,
10201377,Матуючий зволожувальний засіб Mary Kay® для комбінованої/жирної шкіри,820,1,4,"12/26(1), 08/27(2), 02/27(1)",,,,,
10201341,Матуючий очищувальний засіб Mary Kay® для комбінованої/жирної шкіри,710,1,5,"06/26(2), 01/27(13",,,,,
Система з догляду за шкірою TimeWise® Age Minimize 3D®,,,,,,,,,,
10217386,Денний захист SPF30 з комплексом TimeWise® 3D,1400,1,14,"06/25(2),  08/26(1), 10/25(4), 01/26(2), 04/26(3), 05/26(2)","36,37",,,,
10217392,Зволожувальний засіб з антиоксидантами та комплексом TimeWise® 3D - Комбінована / Жирна,1400,1,5,01/26(5),"36,37",,,,
